iter	Passed	Remaining
420	2346	3227
421	2356	3228
422	2362	3222
423	2368	3217
424	2374	3212
425	2383	3211
426	2389	3206
427	2397	3204
428	2402	3197
429	2408	3193
430	2413	3186
431	2419	3181
432	2423	3174
433	2430	3170
434	2437	3166
435	2442	3159
436	2446	3152
437	2451	3145
438	2458	3141
439	2463	3134
440	2467	3128
441	2472	3121
442	2476	3114
443	2481	3107
444	2488	3103
445	2492	3096
446	2497	3089
447	2501	3082
448	2506	3075
449	2510	3068
450	2517	3064
451	2522	3057
452	2526	3050
453	2532	3045
454	2536	3038
455	2541	3031
456	2548	3027
457	2552	3021
458	2557	3014
459	2561	3007
460	2566	3000
461	2571	2994
462	2578	2990
463	2584	2985
464	2591	2981
465	2596	2975
466	2601	2968
467	2605	2962
468	2610	2955
469	2614	2948
470	2621	2944
471	2626	2938
472	2633	2934
473	2638	2927
474	2643	2921
475	2647	2914
476	2655	2911
477	2661	2906
478	2668	2901
479	2672	2895
480	2677	2889
481	2682	2883
482	2687	2876
483	2692	2870
484	2697	2863
485	2703	2859
486	2708	2853
487	2715	2849
488	2720	2842
489	2724	2835
490	2730	2830
491	2734	2823
492	2739	2817
493	2744	2810
494	2751	2806
495	2756	2800
496	2760	2794
497	2765	2787
498	2770	2781
499	2776	2776
500	2780	2769
501	2785	2763
502	2793	2759
503	2799	2755
504	2804	2749
505	2808	2742
506	2815	2737
507	2820	2731
508	2824	2724
509	2829	2718
510	2834	2712
511	2840	2707
512	2847	2703
513	2852	2697
514	2856	2690
515	2861	2684
516	2866	2677
517	2871	2671
518	2876	2665
519	2884	2662
520	2889	2656
521	2893	2649
522	2898	2643
523	2905	2639
524	2912	2634
525	2916	2628
526	2921	2621
527	2925	2615
528	2932	2611
529	2937	2604
530	2944	2600
531	2948	2594
532	2953	2587
533	2959	2582
534	2964	2576
535	2968	2570
536	2973	2564
537	2979	2558
538	2983	2551
539	2988	2545
540	2992	2539
541	2997	2532
542	3002	2526
543	3006	2520
544	3011	2514
545	3018	2509
546	3023	2503
547	3027	2497
548	3032	2491
549	3037	2485
550	3042	2479
551	3048	2474
552	3053	2468
553	3058	2462
554	3063	2456
555	3067	2449
556	3072	2444
557	3077	2437
558	3081	2431
559	3086	2425
560	3090	2418
561	3095	2412
562	3100	2406
563	3105	2400
564	3109	2394
565	3113	2387
566	3121	2383
567	3126	2377
568	3133	2373
569	3137	2367
570	3144	2362
571	3149	2356
572	3153	2350
573	3159	2344
574	3164	2339
575	3169	2333
576	3177	2329
577	3182	2323
578	3187	2317
579	3192	2312
580	3198	2306
581	3206	2303
582	3213	2298
583	3220	2293
584	3226	2288
585	3232	2283
586	3237	2277
587	3247	2275
588	3253	2270
589	3261	2266
590	3266	2260
591	3274	2256
592	3280	2251
593	3286	2246
594	3291	2240
595	3301	2237
596	3308	2233
597	3316	2229
598	3323	2225
599	3332	2221
600	3337	2215
601	3346	2212
602	3351	2206
603	3360	2203
604	3366	2197
605	3371	2192
606	3380	2189
607	3387	2183
608	3394	2179
609	3401	2174
610	3412	2172
611	3419	2168
612	3428	2164
613	3435	2159
614	3444	2156
615	3450	2150
616	3457	2146
617	3464	2141
618	3475	2139
619	3481	2133
620	3489	2129
621	3496	2124
622	3506	2122
623	3512	2116
624	3521	2113
625	3526	2106
626	3531	2100
627	3536	2094
628	3540	2088
629	3545	2082
630	3549	2075
631	3554	2069
632	3559	2063
633	3563	2057
634	3568	2051
635	3578	2047
636	3583	2042
637	3588	2036
638	3593	2030
639	3599	2024
640	3607	2020
641	3612	2014
642	3617	2008
643	3622	2002
644	3631	1998
645	3636	1992
646	3645	1989
647	3650	1983
648	3656	1977
649	3664	1973
650	3670	1967
651	3675	1961
652	3684	1957
653	3689	1951
654	3694	1945
655	3699	1939
656	3704	1933
657	3709	1928
658	3715	1922
659	3720	1916
660	3726	1910
661	3731	1905
662	3736	1899
663	3741	1893
664	3746	1887
665	3752	1881
666	3757	1876
667	3762	1870
668	3768	1864
669	3773	1858
670	3781	1853
671	3786	1847
672	3791	1842
673	3796	1836
674	3802	1830
675	3808	1825
676	3813	1819
677	3821	1814
678	3827	1809
679	3832	1803
680	3838	1797
681	3843	1792
682	3849	1786
683	3854	1780
684	3863	1776
685	3869	1770
686	3873	1764
687	3879	1759
688	3884	1753
689	3889	1747
690	3894	1741
691	3900	1735
692	3905	1729
693	3910	1724
694	3915	1718
695	3920	1712
696	3925	1706
697	3930	1700
698	3935	1694
699	3943	1689
700	3948	1684
701	3953	1678
702	3962	1673
703	3968	1668
704	3973	1662
705	3978	1656
706	3983	1650
707	3988	1645
708	3994	1639
709	4000	1633
710	4008	1629
711	4013	1623
712	4018	1617
713	4027	1613
714	4032	1607
715	4037	1601
716	4043	1595
717	4051	1591
718	4060	1586
719	4065	1581
720	4070	1575
721	4076	1569
722	4081	1563
723	4088	1558
724	4094	1553
725	4099	1547
726	4106	1541
727	4112	1536
728	4117	1530
729	4122	1524
730	4127	1518
731	4132	1512
732	4137	1507
733	4142	1501
734	4148	1495
735	4153	1489
736	4157	1483
737	4162	1477
738	4170	1472
739	4175	1467
740	4180	1461
741	4184	1455
742	4189	1449
743	4193	1443
744	4198	1437
745	4203	1431
746	4208	1425
747	4213	1419
748	4218	1413
