iter	MultiClassOneVsAll
112	0.4731969799
113	0.473031697
114	0.4727975539
115	0.4725755112
116	0.4723549526
117	0.4722039125
118	0.4720215274
119	0.4718325272
120	0.47163053
121	0.4714583267
122	0.4712358971
123	0.4710733579
124	0.4709549249
125	0.4707472932
126	0.4705569705
127	0.4703385221
128	0.4701834404
129	0.4700429687
130	0.4698967488
131	0.4697035318
132	0.4695599743
133	0.4694858375
134	0.4692834657
135	0.4691489215
136	0.4689188102
137	0.468727837
138	0.4686247816
139	0.4685285196
140	0.4684324061
141	0.4682672325
142	0.4680773442
143	0.4679444581
144	0.4678271204
145	0.4676786978
146	0.4674072802
147	0.4672504231
148	0.4671400039
149	0.4669874058
150	0.4668248151
151	0.4667040123
152	0.4666035868
153	0.4665106789
154	0.466416929
155	0.4662967113
156	0.46611805
157	0.4660557965
158	0.4658263216
159	0.465728408
160	0.465593406
161	0.4654627418
162	0.4653361976
163	0.4652399698
164	0.4651469094
165	0.465046112
166	0.4648789234
167	0.4648598169
168	0.4647704892
169	0.4646807929
170	0.464617645
171	0.4644818315
172	0.4644535113
173	0.4643130514
174	0.4642031274
175	0.4641810957
176	0.4641271733
177	0.4640056279
178	0.4638949688
179	0.4637501827
180	0.4636332314
181	0.4635720606
182	0.4632331883
183	0.4631739757
184	0.4631242689
185	0.4630351772
186	0.4628333773
187	0.4627769568
188	0.462704895
189	0.4626617812
190	0.4626089242
191	0.4625153216
192	0.4624398489
193	0.4623701944
194	0.4622864924
195	0.4622070334
196	0.4621167667
197	0.4620735383
198	0.4620090512
199	0.4619079591
200	0.4618508913
201	0.4617879471
202	0.4617247755
203	0.4616884228
204	0.4616116461
205	0.4615462267
206	0.4614388696
207	0.4613656819
208	0.4612854251
209	0.4612478266
210	0.4612253169
211	0.4611593723
212	0.4610831007
213	0.4609832393
214	0.4609452833
215	0.4608807531
216	0.4608418652
217	0.4608239571
218	0.4607690492
219	0.460685518
220	0.4606427357
221	0.460622825
222	0.4605663608
223	0.4605260739
224	0.4604821321
225	0.4602846834
226	0.4602621104
227	0.4602502131
228	0.4602214204
229	0.4602081964
230	0.4601730923
231	0.460127423
232	0.4600036728
233	0.4600010905
234	0.4599639252
235	0.4598986342
236	0.4598447747
237	0.4598175161
238	0.4597652979
239	0.4597296431
240	0.4597018344
241	0.4596975855
242	0.4596297595
243	0.4594711369
244	0.459409637
245	0.4593939814
246	0.4593167992
247	0.4592692898
248	0.4592303715
249	0.459224779
250	0.4591708787
251	0.4591516081
252	0.45908761
253	0.4589911412
254	0.4589533491
255	0.4588958938
256	0.4588673377
257	0.4587700429
258	0.4587372465
259	0.4587284616
260	0.4586648677
261	0.4586215694
262	0.4585467408
263	0.4585320721
264	0.4584576303
265	0.458431615
266	0.4583636621
267	0.4583256591
268	0.4582408016
269	0.458216089
270	0.4581104693
271	0.4580922575
272	0.4580331379
273	0.457769674
274	0.457742504
275	0.4577193825
276	0.4576791969
277	0.4576533634
278	0.4575941529
279	0.4575314921
280	0.4575088375
281	0.4574729921
282	0.4574716535
283	0.457381705
284	0.4571315078
285	0.4571180091
286	0.4570855888
287	0.4570437985
288	0.4569682772
289	0.4569002393
290	0.4568744624
291	0.456818921
292	0.4567849657
293	0.4567614718
294	0.4567076409
295	0.4565507901
296	0.4565125382
297	0.4563399403
298	0.4562975815
299	0.4562327724
300	0.4561590975
301	0.4561014761
302	0.4560807315
303	0.4560198985
304	0.4559664736
305	0.4559623648
306	0.4559469445
307	0.455944048
308	0.4558814507
309	0.4558671657
310	0.4558224252
311	0.4557409701
312	0.4557123057
313	0.4557079535
314	0.4557058019
315	0.4556981278
316	0.4556940302
317	0.4556900311
318	0.4556820629
319	0.4555459094
320	0.4555162465
321	0.4554924538
322	0.4553733405
323	0.4553552717
324	0.4553291529
325	0.4553078691
326	0.4552622833
327	0.4552044525
328	0.455144716
329	0.4551227999
330	0.4551216068
331	0.4550678727
332	0.4550299157
333	0.4550157949
334	0.4550066711
335	0.454949209
336	0.4548961786
337	0.4548805846
338	0.4548540051
339	0.4548323382
340	0.4547959856
341	0.4547393523
342	0.4545592987
343	0.4545409464
344	0.4544945135
345	0.4544595187
346	0.4544443207
347	0.454422665
348	0.4544056716
349	0.4544022219
350	0.4543710277
351	0.454331257
352	0.4542989085
353	0.4542351849
354	0.4542088276
355	0.4541620829
356	0.4541153958
357	0.4540905599
358	0.4540651712
359	0.4540174243
360	0.4539817343
361	0.4539598824
362	0.4539544457
363	0.4539481202
364	0.453909533
365	0.4538871623
366	0.4538492373
367	0.4537974937
368	0.4537777738
369	0.4537414542
370	0.4537074562
371	0.4536630768
372	0.4536588407
373	0.453596324
374	0.4535326817
375	0.4535175175
376	0.4534852395
377	0.4534439385
378	0.453365743
379	0.4533171101
380	0.4532911419
381	0.4532759379
382	0.4532560919
383	0.453241981
384	0.453238319
385	0.453041575
386	0.4530397948
387	0.4530138596
388	0.4529854722
389	0.4529433942
390	0.4529400373
391	0.4529172671
392	0.4528760035
393	0.4528437762
394	0.45282315
395	0.4527797961
396	0.4527707291
397	0.4527321611
398	0.4527230969
399	0.4526929156
400	0.4526535159
401	0.4526517009
402	0.4526419149
403	0.452476392
404	0.4524619867
405	0.4524436106
406	0.4523969115
407	0.4523751492
408	0.452333941
409	0.45231485
410	0.4522723618
411	0.4522698009
412	0.4522503887
413	0.4522121072
414	0.4522054764
415	0.4521820226
416	0.4521638095
417	0.4521557805
418	0.4520828036
419	0.4520418058
420	0.4520150327
421	0.4519949907
422	0.4519864608
423	0.4519700542
424	0.4519633711
425	0.4519212495
426	0.451919685
427	0.4518558271
428	0.4518138736
429	0.4518004144
430	0.4517955662
431	0.451783658
432	0.4517616115
433	0.4517522693
434	0.4517486601
435	0.4517112009
436	0.4515499249
437	0.4515396877
438	0.4515260826
439	0.4515134138
440	0.4514389979
441	0.4514231956
442	0.4513873413
443	0.451354757
444	0.4513416015
445	0.4513107599
446	0.4512408827
447	0.4512388382
448	0.4511930949
449	0.4511892722
450	0.4511764708
451	0.4511677745
452	0.4511615254
453	0.4511476435
454	0.4511375279
455	0.4511245315
456	0.4510951592
457	0.4510842447
458	0.4510799448
459	0.451073015
460	0.4510662296
461	0.4510544089
462	0.451027098
463	0.4509989986
464	0.4509396247
465	0.450914122
466	0.4509108908
467	0.4508930149
468	0.4508894666
469	0.4508783264
470	0.4508694738
471	0.4508123841
472	0.450659378
473	0.4506354703
474	0.4506251302
475	0.4504873074
476	0.4504626811
477	0.4504438723
478	0.4503741212
479	0.4503481839
480	0.4503359417
481	0.4502484917
482	0.4502144297
483	0.4501841572
484	0.4501668199
